2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.881302195522, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=3, voltage=3774.8810993124093, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8810993124093, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.8810993124093, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=4, voltage=3774.882177611142, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.882177611142, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.882177611142, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=5, voltage=3774.8813129850682, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8813129850682, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.8813129850682, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=6, voltage=3774.8813229505827, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8813229505827, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.8813229505827, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=7, voltage=3774.8814539041705, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8814539041705, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.8814539041705, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=8, voltage=3774.881376600832, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.881376600832, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.881376600832, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=9, voltage=3774.881647859764, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.881647859764, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.881647859764, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=10, voltage=3774.8811201165067, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8811201165067, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.8811201165067, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=11, voltage=3774.881383241758, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.881383241758, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.881383241758, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=12, voltage=3774.882051801001, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.882051801001, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.882051801001, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=13, voltage=3774.881968695581, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.881968695581, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.881968695581, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
